,Competition,Strength training,Recovery,Supplements,Cardiovascular training,Physiotherapy,Cancelled enrollment_False,Cancelled enrollment_True,Past injuries_False,Past injuries_True,Outcome
2635,1,2669,590,476,892,23,1,0,0,1,1
2636,0,335,167,46,129,0,1,0,0,1,1
2637,0,1932,118,344,0,0,1,0,1,0,1
2638,2,236,2212,492,7,122,0,1,1,0,0
2639,1,105,348,106,30,0,1,0,0,1,0
2640,3,1,25,6,43,0,1,0,1,0,0
2641,0,1012,105,20,139,225,1,0,0,1,1
2642,0,259,4,17,117,0,1,0,0,1,1
2643,2,81,5,74,250,0,1,0,1,0,0
2644,1,874,48,185,614,19,1,0,0,1,1
2645,2,119,182,239,2,131,1,0,0,1,1
2646,2,80,160,143,3,80,1,0,0,1,1
2647,2,161,225,121,274,0,0,1,1,0,0
2648,3,103,39,116,75,0,1,0,1,0,1
2649,2,406,134,77,5,0,1,0,0,1,0
2650,2,2,4,9,55,0,0,1,1,0,0
2651,0,119,32,8,24,0,1,0,0,1,0
2652,2,214,232,413,28,0,1,0,0,1,1
2653,1,486,191,116,518,0,1,0,0,1,1
2654,2,358,566,379,11,303,1,0,1,0,1
2655,3,62,849,42,75,0,1,0,1,0,1
2656,0,605,521,64,244,0,1,0,0,1,1
2657,2,463,3,124,623,0,1,0,1,0,1
2658,1,3158,157,662,872,15,1,0,0,1,1
2659,1,985,46,262,614,12,1,0,0,1,1
2660,2,54,25,78,341,0,0,1,1,0,0
2661,0,268,1054,45,140,0,1,0,0,1,1
2662,1,2135,501,432,704,29,1,0,0,1,1
2663,1,571,82,116,695,0,1,0,0,1,1
2664,0,471,217,20,144,0,1,0,0,1,1
2665,3,1083,0,29,155,0,1,0,0,1,1
2666,0,932,896,47,320,391,1,0,0,1,1
2667,3,27,111,14,46,0,1,0,1,0,1
2668,1,2039,188,576,340,39,1,0,0,1,0
2669,0,316,471,43,68,0,0,1,0,1,0
2670,2,421,48,91,522,0,1,0,0,1,1
2671,1,692,399,339,793,21,1,0,1,0,1
2672,1,1790,394,714,843,31,1,0,0,1,1
2673,0,338,48,37,91,124,1,0,0,1,0
2674,0,205,24,37,225,0,1,0,0,1,1
2675,0,1095,212,33,194,526,1,0,0,1,1
2676,2,9,7,11,24,0,1,0,1,0,0
2677,3,7,14,15,25,0,1,0,1,0,0
2678,2,230,13,272,2,66,1,0,1,0,0
2679,2,371,50,88,3,17,0,1,1,0,0
2680,1,339,288,88,383,22,1,0,0,1,0
2681,2,552,4215,833,30,0,1,0,0,1,1
2682,3,17,80,12,30,0,1,0,1,0,0
2683,3,21,143,40,77,0,1,0,1,0,0
2684,1,971,96,174,794,40,1,0,0,1,0
2685,3,23,49,48,1,0,0,1,0,1,0
2686,2,87,81,21,3,17,0,1,1,0,0
2687,1,86,7,32,2,0,1,0,0,1,0
2688,1,2203,261,304,868,56,1,0,0,1,1
2689,2,220,50,96,14,28,1,0,0,1,1
2690,1,858,450,219,1190,6,1,0,0,1,1
2691,2,163,121,81,221,0,1,0,1,0,1
2692,3,1,0,3,1,0,1,0,0,1,0
2693,2,73,39,52,147,0,1,0,1,0,0
2694,3,21,418,12,74,0,1,0,1,0,1
2695,0,159,65,32,0,0,1,0,0,1,1
2696,2,29,29,56,319,0,0,1,1,0,0
2697,2,741,447,436,2965,0,1,0,0,1,1
2698,2,59,15,20,46,0,1,0,1,0,0
2699,0,809,52,5,99,174,1,0,0,1,1
2700,3,844,621,29,134,0,1,0,0,1,1
2701,2,261,155,130,633,0,1,0,1,0,1
2702,1,299,129,80,88,0,1,0,0,1,0
2703,2,24,38,33,55,0,0,1,0,1,0
2704,1,145,110,112,100,0,1,0,0,1,0
2705,1,609,273,172,1013,6,1,0,0,1,1
2706,0,594,674,116,90,47,1,0,0,1,1
2707,2,299,232,132,381,0,1,0,1,0,1
2708,2,49,187,188,2034,0,1,0,1,0,1
2709,2,28,0,2,0,0,1,0,0,1,0
2710,2,221,815,346,82,160,1,0,0,1,1
2711,3,1240,221,50,142,0,1,0,0,1,1
2712,2,133,123,91,10,113,1,0,1,0,1
2713,3,147,84,43,21,0,0,1,1,0,0
2714,3,0,77,0,0,0,1,0,1,0,0
2715,2,340,628,227,6,0,1,0,0,1,1
2716,2,261,4,103,236,0,1,0,1,0,0
2717,3,104,5,4,0,0,1,0,0,1,1
2718,3,24,144,31,93,0,1,0,1,0,1
2719,3,254,107,10,92,0,1,0,0,1,1
2720,2,97,206,69,2,23,0,1,0,1,0
2721,0,10,41,6,4,0,1,0,1,0,0
2722,2,283,1445,576,44,154,1,0,0,1,1
2723,0,778,2,57,216,0,1,0,0,1,1
2724,3,49,179,61,66,0,1,0,1,0,1
2725,1,297,202,85,488,0,1,0,0,1,1
2726,0,300,32,12,115,0,1,0,0,1,1
2727,1,259,376,168,809,0,1,0,0,1,0
2728,0,204,15,7,115,0,1,0,0,1,0
2729,2,213,324,121,10,54,1,0,0,1,1
2730,3,48,3,8,4,0,1,0,1,0,0
2731,1,1096,169,244,538,3,1,0,0,1,1
2732,0,794,205,22,157,166,1,0,0,1,1
2733,1,1579,112,232,655,17,1,0,0,1,0
2734,1,1032,296,227,784,19,1,0,0,1,1
2735,1,313,254,114,67,17,0,1,0,1,0
2736,1,354,97,397,913,4,1,0,1,0,1
2737,1,154,216,113,155,19,0,1,0,1,0
2738,1,1526,262,308,1457,4,1,0,0,1,1
2739,2,208,758,401,22,222,1,0,0,1,1
2740,0,215,18,22,0,0,1,0,1,0,1
2741,2,69,83,38,2,43,0,1,1,0,0
2742,2,27,22,43,314,0,0,1,1,0,0
2743,1,2312,900,592,792,42,1,0,0,1,1
2744,1,2176,314,328,735,56,1,0,0,1,0
2745,2,46,4,94,393,0,0,1,1,0,0
2746,2,86,44,44,322,0,0,1,1,0,0
2747,2,59,34,30,402,0,0,1,1,0,0
2748,2,46,82,24,131,0,0,1,1,0,0
2749,0,838,56,5,87,221,1,0,0,1,1
2750,1,264,25,47,65,34,0,1,0,1,0
2751,1,0,15,0,0,0,1,0,0,1,0
2752,3,103,0,6,3,0,0,1,1,0,0
2753,2,481,73,45,1,106,1,0,0,1,1
2754,0,80,55,8,108,0,0,1,0,1,0
2755,3,534,201,17,67,0,1,0,0,1,1
2756,2,541,661,145,865,0,1,0,1,0,1
2757,2,236,195,74,16,0,1,0,0,1,1
2758,3,177,2789,178,105,0,1,0,1,0,1
2759,0,813,877,50,119,276,1,0,0,1,1
2760,2,20,14,30,4,0,0,1,0,1,0
2761,3,48,20,32,0,0,0,1,0,1,0
2762,2,360,248,370,44,81,0,1,1,0,0
2763,1,1335,575,284,961,48,1,0,0,1,1
2764,1,774,348,282,1901,0,1,0,0,1,1
2765,3,178,213,176,76,0,1,0,1,0,1
2766,1,1363,97,233,650,23,1,0,0,1,1
2767,1,440,168,95,182,0,0,1,0,1,0
2768,3,169,1,36,9,0,1,0,1,0,1
2769,2,464,798,672,46,213,1,0,0,1,1
2770,0,78,0,0,8,0,0,1,1,0,0
2771,0,1415,802,221,0,0,1,0,1,0,1
2772,3,32,226,49,35,0,1,0,1,0,1
2773,2,71,389,114,514,0,1,0,1,0,0
2774,2,34,8,42,217,0,1,0,1,0,1
2775,2,84,39,46,226,0,1,0,1,0,0
2776,0,2523,737,58,184,172,1,0,0,1,1
2777,2,59,180,58,7,23,0,1,1,0,0
2778,0,301,162,22,100,0,1,0,0,1,1
2779,2,256,218,180,7,0,1,0,0,1,0
2780,3,33,533,29,124,0,1,0,1,0,1
2781,2,36,121,53,350,0,1,0,1,0,1
2782,3,5,102,11,60,0,1,0,1,0,1
2783,2,76,82,61,5,16,0,1,0,1,0
2784,2,425,65,177,32,49,1,0,0,1,1
2785,1,1198,732,311,703,60,1,0,1,0,1
2786,0,637,3293,27,193,140,1,0,0,1,1
2787,3,91,1,69,67,0,1,0,1,0,1
2788,0,247,37,20,81,0,1,0,0,1,1
2789,1,253,57,138,9,4,1,0,1,0,0
2790,3,170,931,216,90,0,1,0,0,1,1
2791,3,28,0,13,64,0,1,0,0,1,1
2792,2,25,132,34,3,11,0,1,0,1,0
2793,3,1151,63,79,99,0,1,0,0,1,1
2794,3,6,29,9,49,0,1,0,1,0,0
2795,1,1821,267,940,2292,54,1,0,0,1,1
2796,1,2671,511,610,811,38,1,0,0,1,0
2797,0,31,3,7,87,0,1,0,0,1,1
2798,3,1,317,4,65,0,1,0,1,0,1
2799,1,207,172,101,0,2,1,0,1,0,0
2800,0,271,91,37,134,0,1,0,0,1,1
2801,1,221,121,137,10,0,0,1,1,0,0
2802,3,106,812,87,78,32,1,0,1,0,1
2803,3,104,13,122,75,0,1,0,1,0,1
2804,1,434,212,130,800,28,1,0,1,0,0
2805,2,236,21,41,1,0,1,0,0,1,1
2806,1,1054,544,372,1270,15,1,0,0,1,1
2807,0,2611,224,19,148,198,1,0,0,1,1
2808,2,147,16,79,216,0,1,0,1,0,0
2809,0,78,19,41,79,0,1,0,0,1,1
2810,1,549,521,177,290,59,0,1,0,1,0
2811,2,195,70,117,8,59,1,0,0,1,1
2812,0,202,214,34,0,0,0,1,1,0,0
2813,2,309,26,106,0,31,1,0,1,0,1
2814,0,692,721,21,138,56,1,0,0,1,1
2815,1,2147,159,256,530,9,1,0,0,1,1
2816,1,1675,338,330,1000,71,1,0,0,1,1
2817,1,854,192,178,585,29,1,0,0,1,1
2818,2,116,41,57,5,0,1,0,0,1,1
2819,2,2793,220,132,354,0,1,0,1,0,1
2820,2,51,232,109,7,56,1,0,1,0,0
2821,0,182,209,41,97,0,1,0,0,1,1
2822,0,229,30,9,133,0,1,0,0,1,1
2823,1,2356,399,369,540,6,1,0,1,0,0
2824,1,1785,706,441,835,19,1,0,0,1,1
2825,2,117,45,183,918,0,1,0,1,0,1
2826,1,114,54,131,380,0,1,0,0,1,0
2827,3,20,122,59,77,0,1,0,1,0,0
2828,2,230,876,375,31,116,1,0,1,0,1
2829,2,65,0,92,171,0,0,1,1,0,0
2830,3,53,85,29,130,0,1,0,1,0,1
2831,2,142,185,192,14,30,1,0,0,1,1
2832,3,1046,77,60,593,0,1,0,1,0,1
2833,2,2785,432,170,1122,0,1,0,1,0,1
2834,1,1557,124,265,961,18,1,0,0,1,0
2835,3,38,682,82,114,0,1,0,0,1,1
2836,0,715,558,10,113,227,1,0,0,1,1
2837,2,80,36,51,289,0,0,1,1,0,0
2838,0,240,0,32,121,0,1,0,0,1,0
2839,2,4,31,3,1,2,0,1,0,1,0
2840,1,1383,358,347,628,22,1,0,0,1,1
2841,3,317,912,155,76,0,1,0,1,0,1
2842,3,100,673,52,121,0,1,0,0,1,1
2843,3,13,84,31,13,0,1,0,1,0,0
2844,3,204,1970,106,28,0,0,1,1,0,0
2845,0,861,1807,301,0,0,1,0,1,0,1
2846,1,573,789,203,358,61,1,0,0,1,0
2847,3,97,100,52,70,0,1,0,1,0,1
2848,1,185,193,172,43,3,0,1,1,0,0
2849,2,11,2,9,51,0,0,1,1,0,0
2850,2,204,374,238,20,53,1,0,0,1,1
2851,2,67,73,77,249,0,1,0,1,0,1
2852,2,132,10,56,0,0,1,0,1,0,1
2853,1,2006,135,304,987,35,1,0,0,1,1
2854,0,870,97,5,88,269,1,0,1,0,1
2855,3,13,0,6,0,0,0,1,1,0,0
2856,1,299,23,90,52,2,0,1,0,1,0
2857,0,82,3,36,87,0,1,0,0,1,0
2858,3,93,1317,73,86,0,1,0,1,0,1
2859,0,364,85,39,75,0,1,0,0,1,1
2860,2,153,136,210,19,0,1,0,0,1,1
2861,0,220,63,6,80,0,1,0,0,1,1
2862,2,173,3388,261,11,0,1,0,0,1,1
2863,2,96,11,30,813,0,0,1,1,0,0
2864,0,354,47,95,91,0,1,0,1,0,1
2865,0,420,87,5,90,41,1,0,0,1,1
2866,0,653,90,10,93,66,0,1,1,0,0
2867,3,3122,43,33,83,0,1,0,0,1,1
2868,3,333,49,27,171,0,1,0,0,1,0
2869,0,1230,139,114,246,164,1,0,0,1,1
2870,2,233,505,328,36,139,1,0,0,1,1
2871,3,1301,727,112,93,0,1,0,0,1,1
2872,1,276,186,84,193,7,1,0,0,1,0
2873,0,56,6,20,82,0,1,0,0,1,0
2874,1,881,223,118,361,8,1,0,0,1,0
2875,0,172,7,42,0,0,1,0,1,0,0
2876,3,0,0,0,12,0,0,1,1,0,0
2877,2,11,1,11,27,0,1,0,1,0,0
2878,1,1391,588,494,1202,55,1,0,0,1,1
2879,3,18,337,16,59,0,1,0,1,0,0
2880,0,6,0,3,0,0,1,0,1,0,0
2881,2,192,462,409,10,111,1,0,0,1,1
2882,3,375,0,21,151,0,1,0,1,0,0
2883,2,48,61,78,2,48,0,1,0,1,0
2884,2,43,7,33,2,0,1,0,1,0,0
2885,3,104,576,208,114,0,1,0,1,0,0
2886,2,135,257,125,462,0,1,0,1,0,1
2887,2,155,474,199,13,117,1,0,0,1,1
2888,3,439,463,432,194,0,1,0,1,0,1
2889,2,112,69,56,0,0,1,0,0,1,1
2890,3,49,5213,83,101,0,1,0,1,0,1
2891,3,37,95,30,63,0,1,0,1,0,1
2892,1,203,42,66,8,1,0,1,0,1,0
2893,3,90,10,83,69,0,1,0,1,0,1
2894,3,30,124,48,66,0,1,0,0,1,1
2895,2,92,23,55,1,16,1,0,0,1,0
2896,2,10,93,17,69,0,0,1,1,0,0
2897,2,275,152,341,1,79,1,0,0,1,1
2898,1,694,679,322,945,41,1,0,0,1,1
2899,0,29,13,10,0,0,1,0,0,1,0
2900,1,27,24,57,6,2,0,1,0,1,0
2901,1,1289,182,203,499,11,1,0,0,1,1
2902,2,11,0,34,188,0,1,0,1,0,1
2903,0,457,526,33,112,178,1,0,1,0,1
2904,2,584,109,134,456,0,1,0,1,0,1
2905,0,974,64,235,0,0,1,0,1,0,1
2906,3,22,155,41,82,0,1,0,1,0,1
2907,2,441,211,186,18,121,1,0,0,1,0
2908,1,323,948,162,411,7,1,0,0,1,0
2909,2,39,13,71,600,0,1,0,0,1,1
2910,2,14,0,54,275,0,1,0,1,0,0
2911,2,212,474,611,44,130,1,0,1,0,1
2912,3,15,0,13,42,0,1,0,1,0,1
2913,0,395,192,3,89,134,1,0,0,1,1
2914,1,946,885,246,689,9,1,0,0,1,1
2915,3,105,5,9,1,0,0,1,1,0,0
2916,2,92,6,129,339,0,1,0,1,0,1
2917,3,2169,664,119,316,0,1,0,0,1,1
2918,1,99,29,44,1,0,1,0,1,0,0
2919,2,394,278,123,2,137,1,0,0,1,1
2920,0,160,9,10,121,0,1,0,0,1,1
2921,1,274,499,132,81,6,0,1,0,1,0
2922,2,76,309,41,2,64,1,0,0,1,0
2923,1,648,71,127,484,6,1,0,0,1,1
2924,2,1366,2994,204,1921,0,1,0,1,0,1
2925,3,44,79,56,85,0,1,0,1,0,0
2926,3,1319,5,11,55,0,1,0,0,1,1
2927,2,242,17,155,837,0,1,0,1,0,0
2928,2,302,536,446,50,192,1,0,0,1,0
2929,2,1060,682,167,727,0,1,0,1,0,0
2930,0,986,546,105,140,0,1,0,0,1,1
2931,2,84,225,136,2,40,1,0,0,1,1
2932,3,21,75,18,105,0,1,0,0,1,1
2933,1,1112,640,236,455,29,1,0,0,1,1
2934,3,28,6,26,14,0,1,0,0,1,0
2935,3,655,95,39,84,0,1,0,0,1,1
2936,2,340,999,986,47,255,1,0,0,1,1
2937,1,712,65,146,165,128,0,1,1,0,0
2938,3,54,118,158,74,0,1,0,1,0,1
2939,2,221,30,199,758,0,1,0,0,1,1
2940,2,109,97,50,2,12,0,1,1,0,0
2941,3,16,190,22,47,0,0,1,1,0,0
2942,3,31,79,14,83,0,1,0,1,0,1
2943,0,1234,623,15,160,353,1,0,1,0,1
2944,1,1714,229,350,485,25,1,0,0,1,1
2945,3,218,55,14,157,0,1,0,1,0,1
2946,0,249,42,3,89,0,0,1,0,1,0
2947,0,212,21,24,147,0,1,0,0,1,0
2948,3,19,54,15,42,0,1,0,1,0,0
2949,3,112,651,49,90,0,1,0,1,0,1
2950,3,318,209,24,120,0,0,1,0,1,0
2951,2,61,40,43,113,0,0,1,1,0,0
2952,2,185,340,218,19,85,1,0,1,0,0
2953,1,2994,556,358,889,32,1,0,0,1,1
2954,1,1083,327,213,767,27,1,0,0,1,1
2955,0,2063,641,22,131,308,1,0,0,1,1
2956,1,767,143,151,646,5,1,0,0,1,1
2957,1,96,49,74,91,0,1,0,0,1,0
2958,2,207,110,47,3,36,1,0,0,1,1
2959,1,2900,178,510,1335,48,1,0,0,1,1
2960,1,2338,1064,646,895,63,1,0,0,1,1
2961,3,68,657,54,83,0,1,0,0,1,1
2962,2,44,77,45,2,13,0,1,0,1,0
2963,2,105,12,66,2,20,0,1,1,0,0
2964,0,149,0,37,49,0,1,0,0,1,0
2965,0,9,6,6,72,0,1,0,1,0,0
2966,3,26,120,37,73,0,1,0,1,0,1
2967,3,47,265,56,76,0,1,0,1,0,0
2968,3,65,145,47,104,0,1,0,1,0,1
2969,2,281,40,369,1210,0,1,0,0,1,0
2970,2,101,182,219,11,0,1,0,0,1,0
2971,2,202,510,428,32,304,1,0,0,1,1
2972,3,157,760,141,129,0,1,0,1,0,1
2973,1,1488,875,210,596,51,1,0,0,1,1
2974,1,66,36,70,393,0,1,0,0,1,0
2975,2,595,877,253,806,0,1,0,1,0,0
2976,1,1171,77,166,604,23,1,0,0,1,1
2977,3,488,102,97,55,0,1,0,0,1,1
2978,3,47,274,101,56,0,1,0,1,0,1
2979,3,36,103,51,63,0,1,0,0,1,1
2980,2,1269,101,61,462,0,1,0,1,0,0
2981,2,134,36,227,12,18,0,1,0,1,0
2982,1,545,23,164,666,0,1,0,0,1,1
2983,0,1044,66,53,191,201,1,0,1,0,1
2984,1,2087,246,224,509,37,1,0,0,1,1
2985,1,1168,462,273,767,33,1,0,0,1,1
2986,3,293,621,449,80,0,1,0,1,0,1
2987,2,54,213,151,565,0,1,0,1,0,1
2988,3,23,47,23,68,0,1,0,1,0,1
2989,2,126,33,117,575,0,0,1,1,0,0
2990,2,124,98,39,4,23,1,0,1,0,0
2991,2,293,325,548,17,77,1,0,0,1,1
2992,1,525,395,198,216,17,0,1,0,1,0
2993,3,93,1931,144,135,0,1,0,1,0,1
2994,3,213,848,200,83,0,1,0,1,0,1
2995,1,1646,708,382,649,39,1,0,0,1,1
2996,3,24,207,40,94,0,1,0,1,0,1
2997,2,340,209,410,25,168,1,0,0,1,1
2998,2,535,330,174,8,123,1,0,0,1,1
2999,3,82,1324,87,94,0,1,0,1,0,1
3000,0,626,145,36,209,140,1,0,0,1,1
3001,0,256,252,21,179,306,1,0,0,1,1
3002,1,1827,465,567,1633,95,1,0,0,1,1
3003,1,973,402,191,0,90,0,1,0,1,0
3004,3,112,121,87,104,0,1,0,0,1,1
3005,3,145,154,91,95,0,1,0,1,0,1
3006,1,2304,255,276,750,11,1,0,0,1,1
3007,2,49,21,11,4,0,1,0,1,0,0
3008,2,9,1,7,101,0,1,0,1,0,0
3009,2,201,101,245,1,42,1,0,1,0,1
3010,3,26,368,33,22,0,1,0,1,0,0
3011,2,57,13,10,28,0,0,1,1,0,0
3012,2,38,4,86,787,0,1,0,1,0,0
3013,1,1213,646,352,907,27,1,0,0,1,0
3014,0,180,35,34,103,0,1,0,0,1,1
3015,0,494,48,97,117,66,1,0,1,0,0
3016,2,27,187,44,1,2,1,0,1,0,0
3017,2,183,518,185,24,139,1,0,0,1,1
3018,1,44,33,48,11,0,0,1,0,1,0
3019,1,872,262,175,160,49,1,0,0,1,0
3020,1,39,55,57,10,0,1,0,0,1,0
3021,3,582,141,44,0,0,1,0,0,1,0
3022,0,18,0,3,115,0,1,0,0,1,1
3023,3,3,6,1,35,0,0,1,0,1,0
3024,2,38,118,16,1,8,0,1,1,0,0
3025,3,103,492,28,98,0,1,0,1,0,1
3026,0,2,0,1,0,0,1,0,0,1,0
3027,1,249,370,136,35,7,1,0,1,0,0
3028,0,73,11,15,67,0,0,1,0,1,0
3029,0,255,62,13,178,0,1,0,0,1,1
3030,3,20,96,30,26,0,1,0,1,0,0
3031,2,185,30,74,13,72,1,0,1,0,0
3032,1,270,209,139,225,3,1,0,0,1,0
3033,2,50,376,45,0,0,1,0,0,1,0
3034,2,564,800,633,38,104,1,0,0,1,1
3035,3,616,0,19,235,0,1,0,0,1,1
3036,2,2459,894,773,696,106,1,0,0,1,1
3037,0,299,125,12,118,0,1,0,0,1,1
3038,3,926,251,19,0,0,1,0,0,1,1
3039,2,292,228,151,39,16,0,1,1,0,0
3040,0,295,106,38,96,0,1,0,0,1,1
3041,2,149,16,19,141,0,1,0,1,0,0
3042,3,1,40,6,32,0,1,0,1,0,0
3043,2,114,23,180,4,29,0,1,0,1,0
3044,2,179,451,426,18,135,1,0,0,1,1
3045,0,238,18,8,99,0,0,1,0,1,0
3046,3,20,512,6,96,0,0,1,1,0,0
3047,1,1837,500,436,1285,15,1,0,0,1,1
3048,1,196,1207,143,655,17,1,0,0,1,1
3049,0,281,161,38,65,151,1,0,1,0,1
3050,1,1464,621,290,916,4,1,0,0,1,1
3051,2,9,2,28,207,0,0,1,1,0,0
3052,1,992,409,186,428,5,1,0,0,1,1
3053,3,12,10,10,13,0,0,1,1,0,0
3054,0,1205,257,65,0,0,1,0,0,1,1
3055,2,19,40,19,217,0,0,1,1,0,0
3056,2,391,833,984,5,305,1,0,0,1,1
3057,1,25,19,16,1,0,0,1,1,0,0
3058,2,150,130,231,18,0,1,0,0,1,1
3059,2,27,16,58,4,15,0,1,0,1,0
3060,2,780,54,127,624,0,1,0,1,0,1
3061,3,571,234,36,179,0,1,0,0,1,1
3062,1,131,7,43,2,0,1,0,1,0,0
3063,2,24,0,21,2,0,1,0,1,0,0
3064,2,52,8,51,2,0,1,0,1,0,1
3065,2,147,506,196,17,96,1,0,1,0,1
3066,1,1606,672,362,776,87,1,0,0,1,1
3067,2,169,542,131,355,0,1,0,1,0,1
3068,0,170,20,14,1,237,1,0,1,0,0
3069,2,34,43,68,1,17,0,1,1,0,0
3070,2,629,1390,322,1374,0,1,0,0,1,1
3071,2,580,181,304,9,101,1,0,0,1,1
3072,3,71,0,10,0,0,0,1,1,0,0
3073,3,56,397,14,40,0,1,0,1,0,0
3074,2,341,1195,917,37,86,1,0,0,1,0
3075,1,870,526,400,355,97,0,1,0,1,0
3076,0,140,107,33,1,11,1,0,1,0,1
3077,3,11,0,2,27,0,1,0,1,0,0
3078,2,116,1023,91,2,0,1,0,0,1,1
3079,0,625,82,52,98,163,1,0,0,1,1
3080,0,294,70,14,89,0,1,0,0,1,1
3081,1,1822,260,258,598,24,1,0,0,1,1
3082,1,259,10,55,87,0,0,1,0,1,0
3083,1,110,9,31,89,0,1,0,0,1,0
3084,1,2143,125,432,925,33,1,0,0,1,1
3085,0,122,47,2,108,0,1,0,0,1,1
3086,3,0,30,1,0,0,0,1,0,1,0
3087,3,186,4,16,19,0,1,0,0,1,1
3088,1,375,130,173,124,1,1,0,1,0,0
3089,3,665,1,35,135,0,1,0,0,1,1
3090,1,1249,554,250,604,51,1,0,0,1,1
3091,2,46,4,19,127,0,0,1,0,1,0
3092,2,143,87,146,1208,0,1,0,1,0,1
3093,0,307,478,33,93,0,1,0,0,1,0
3094,1,269,72,66,70,15,0,1,0,1,0
3095,2,214,664,628,50,247,1,0,0,1,1
3096,3,8,0,6,0,0,0,1,0,1,0
3097,3,10,0,2,0,0,0,1,0,1,0
3098,3,13,65,7,0,0,1,0,1,0,0
3099,2,8,8,11,135,0,0,1,1,0,0
3100,2,30,0,10,7,0,0,1,0,1,0
3101,1,1272,257,268,811,152,1,0,0,1,1
3102,3,26,50,29,1,0,1,0,1,0,0
3103,2,64,4,66,172,0,1,0,1,0,1
3104,3,86,195,111,79,0,1,0,1,0,1
3105,1,1316,529,308,520,48,1,0,0,1,1
3106,0,280,0,1,149,0,1,0,0,1,1
3107,1,219,3,87,87,0,0,1,0,1,0
3108,2,5,12,22,45,0,1,0,1,0,0
3109,1,1784,86,350,612,26,1,0,0,1,1
3110,2,288,190,264,5,91,1,0,0,1,0
3111,1,499,249,169,171,70,0,1,0,1,0
3112,2,44,36,67,181,0,1,0,1,0,1
3113,1,125,83,84,48,0,0,1,1,0,0
3114,1,4340,1480,581,767,68,1,0,0,1,1
3115,2,42,4,4,82,0,1,0,1,0,0
3116,2,103,3,29,0,0,0,1,1,0,0
3117,1,1535,524,430,619,68,1,0,0,1,1
3118,2,41,288,111,174,0,1,0,1,0,1
3119,3,91,398,146,61,0,0,1,1,0,0
3120,0,986,704,87,0,0,1,0,0,1,1
3121,2,3,0,9,81,0,0,1,1,0,0
3122,0,227,100,70,0,0,1,0,1,0,0
3123,1,112,106,41,26,10,0,1,1,0,0
3124,0,175,70,17,70,0,1,0,0,1,1
3125,0,138,22,11,5,0,1,0,1,0,0
3126,3,18,27,16,52,0,1,0,1,0,1
3127,2,228,598,234,18,0,1,0,0,1,1
3128,1,558,193,191,573,25,1,0,0,1,1
3129,1,777,48,110,666,13,1,0,0,1,1
3130,2,16,10,20,149,0,0,1,1,0,0
3131,1,208,100,109,27,6,0,1,1,0,0
3132,3,76,429,127,117,0,1,0,1,0,0
3133,0,162,19,4,131,0,1,0,0,1,1
3134,2,33,16,16,3,2,1,0,1,0,0
3135,2,1700,635,277,1088,0,1,0,1,0,1
3136,3,160,430,169,95,0,1,0,1,0,0
3137,0,1533,1107,67,166,529,1,0,0,1,1
3138,2,13,5,17,6,0,0,1,1,0,0
3139,3,6,1733,23,65,0,0,1,1,0,0
3140,0,773,102,14,94,192,1,0,1,0,1
3141,0,13,10,1,0,0,1,0,0,1,0
3142,1,942,238,193,502,52,1,0,1,0,0
3143,3,147,0,18,18,0,1,0,1,0,1
3144,1,963,2851,256,416,38,0,1,0,1,0
3145,3,883,1,14,110,0,1,0,0,1,1
3146,0,708,215,15,185,115,1,0,0,1,1
3147,2,498,434,300,23,161,1,0,1,0,0
3148,0,552,139,17,94,27,1,0,1,0,1
3149,0,202,121,17,83,0,1,0,0,1,1
3150,3,92,1561,142,27,0,1,0,1,0,0
3151,2,937,7,152,1437,0,1,0,1,0,1
3152,1,441,103,184,770,1,1,0,0,1,1
3153,0,704,417,28,203,392,1,0,1,0,1
3154,3,26,89,14,76,0,1,0,0,1,1
3155,3,116,1414,116,179,0,0,1,1,0,0
3156,0,858,84,53,167,0,1,0,0,1,1
3157,2,9,4,6,31,0,0,1,1,0,0
3158,1,223,34,66,1,0,1,0,1,0,0
3159,2,125,73,42,171,0,0,1,1,0,0
3160,0,89,4,25,75,0,1,0,0,1,1
3161,3,18,11,10,12,0,0,1,1,0,0
3162,0,9,0,2,0,0,1,0,0,1,0
3163,1,222,343,123,229,7,0,1,1,0,0
3164,2,104,10,149,2,5,1,0,1,0,0
3165,1,1103,273,227,131,53,0,1,0,1,0
3166,2,80,113,47,0,0,1,0,0,1,1
3167,1,1375,92,174,14,6,0,1,1,0,0
3168,1,1149,875,505,953,16,1,0,0,1,1
3169,0,973,1616,59,207,379,1,0,0,1,1
3170,3,22,290,45,78,0,1,0,1,0,1
3171,1,1013,156,201,534,12,1,0,0,1,1
3172,0,160,90,28,58,135,1,0,0,1,1
3173,0,3,1,6,19,0,1,0,0,1,0
3174,0,327,614,8,108,257,1,0,0,1,1
3175,1,2270,3857,400,1184,63,1,0,0,1,1
3176,2,37,0,72,86,0,1,0,1,0,0
3177,3,460,32,13,123,0,1,0,0,1,1
3178,0,892,123,55,195,739,1,0,0,1,1
3179,3,16,169,24,25,0,0,1,1,0,0
3180,1,1120,236,354,582,48,1,0,0,1,1
3181,0,846,549,21,243,226,1,0,0,1,1
3182,2,31,3,55,145,0,1,0,1,0,1
3183,3,112,3,31,0,0,1,0,0,1,1
3184,1,1286,467,246,686,18,1,0,0,1,1
3185,0,394,19,2,117,35,1,0,1,0,1
